"","x"
"1","GNLY"
"2","S100A8"
"3","LYZ"
"4","S100A9"
"5","CD74"
"6","HLA-DRA"
"7","CCL5"
"8","TYROBP"
"9","CST3"
"10","NKG7"
"11","FCN1"
"12","LTB"
"13","FOS"
"14","GZMB"
"15","HLA-DRB1"
"16","AIF1"
"17","FGFBP2"
"18","GZMH"
"19","GZMA"
"20","CD79A"
"21","HLA-DPA1"
"22","PRF1"
"23","MS4A1"
"24","LST1"
"25","KLRB1"
"26","HLA-DPB1"
"27","VCAN"
"28","S100A12"
"29","SAT1"
"30","TCL1A"
"31","FCGR3A"
"32","CST7"
"33","IL32"
"34","S100A4"
"35","IL7R"
"36","VIM"
"37","CD14"
"38","SPON2"
"39","SERPINA1"
"40","S100A6"
"41","CTSS"
"42","SRGN"
"43","CTSW"
"44","MNDA"
"45","DUSP1"
"46","COTL1"
"47","KLRD1"
"48","MS4A6A"
"49","JUN"
"50","CCL4"
"51","PSAP"
"52","FCER1G"
"53","CD8B"
"54","HOPX"
"55","KLRF1"
"56","CFD"
"57","CD3D"
"58","PTGDS"
"59","ANXA1"
"60","TYMP"
"61","CLIC3"
"62","GZMK"
"63","HLA-DQA1"
"64","NFKBIA"
"65","HLA-DQB1"
"66","NEAT1"
"67","KLRC1"
"68","LINC00926"
"69","CD8A"
"70","CD3E"
"71","G0S2"
"72","FTL"
"73","DUSP2"
"74","BANK1"
"75","IL2RB"
"76","JUNB"
"77","ITGB2"
"78","ZNF683"
"79","FCER2"
"80","CD7"
"81","VPREB3"
"82","GRN"
"83","CMC1"
"84","PRSS23"
"85","KLF6"
"86","RGS2"
"87","CD160"
"88","GSTP1"
"89","LGALS1"
"90","ID2"
"91","S1PR5"
"92","LILRA4"
"93","CD79B"
"94","S100B"
"95","LDHB"
"96","CD247"
"97","IFITM2"
"98","CXCR4"
"99","FCRL6"
"100","XCL2"
"101","XCL1"
"102","MATK"
"103","SH2D1B"
"104","TSPO"
"105","LAIR2"
"106","S100A10"
"107","IFITM3"
"108","IER2"
"109","MZB1"
"110","MS4A7"
"111","CD69"
"112","SELL"
"113","NCF1"
"114","CD52"
"115","CFP"
"116","PTGDR"
"117","TTC38"
"118","RPS5"
"119","FGL2"
"120","NCR3"
"121","RALGPS2"
"122","LGALS2"
"123","CSF3R"
"124","RPSA"
"125","FCER1A"
"126","GZMM"
"127","HLA-DMA"
"128","KLRG1"
"129","TIGIT"
"130","ZFP36"
"131","ZFP36L2"
"132","SYNE2"
"133","CEBPD"
"134","CYBB"
"135","TSPAN13"
"136","CD3G"
"137","PLEK"
"138","TBX21"
"139","CPVL"
"140","CD22"
"141","IRF8"
"142","HCST"
"143","FCRL3"
"144","S100A11"
"145","EGR1"
"146","ANXA2"
"147","C12orf75"
"148","KIR2DL3"
"149","C1orf21"
"150","CCL3"
"151","PYHIN1"
"152","TGFBR3"
"153","MAFB"
"154","PPBP"
"155","TKT"
"156","AKR1C3"
"157","NCAM1"
"158","FCRL1"
"159","EFHD2"
"160","EEF1B2"
"161","DTHD1"
"162","CLEC7A"
"163","NCR1"
"164","FCRLA"
"165","IFNG"
"166","RTKN2"
"167","ITM2C"
"168","AP1S2"
"169","MYBL1"
"170","ITGB1"
"171","F2R"
"172","CEP78"
"173","CCR7"
"174","CLU"
"175","COL6A2"
"176","APLP2"
"177","ARL4C"
"178","FGR"
"179","CD36"
"180","SAMD3"
"181","MEF2C"
"182","CSTA"
"183","SPI1"
"184","TCF4"
"185","FOSB"
"186","TNFAIP3"
"187","LYAR"
"188","ZEB2"
"189","TSC22D3"
"190","CYBA"
"191","FCGRT"
"192","KIR3DL2"
"193","IL18RAP"
"194","IRF1"
"195","DUSP6"
"196","SYNE1"
"197","NOSIP"
"198","CD68"
"199","HLA-DMB"
"200","IFITM1"
"201","NPC2"
"202","THBS1"
"203","ACTG1"
"204","BLK"
"205","ALOX5AP"
"206","SYTL3"
"207","APMAP"
"208","DERL3"
"209","CX3CR1"
"210","MT2A"
"211","APOBEC3A"
"212","CD2"
"213","NAMPT"
"214","EOMES"
"215","FTH1"
"216","CD19"
"217","NMUR1"
"218","TPM2"
"219","SH3BGRL3"
"220","TUBB1"
"221","PLAC8"
"222","COL19A1"
"223","MYO1F"
"224","SGK1"
"225","IKZF2"
"226","RGS9"
"227","SH2D2A"
"228","AREG"
"229","MCTP2"
"230","SLC2A3"
"231","SERPINF1"
"232","RAB27B"
"233","TIMP1"
"234","PPP2R2B"
"235","TNFRSF18"
"236","KIR3DL1"
"237","SYTL2"
"238","PLEKHF1"
"239","IGFBP7"
"240","TAGLN2"
"241","BNC2"
"242","LMNA"
"243","STXBP2"
"244","HBA1"
"245","LEF1"
"246","FEZ1"
"247","TCF7"
"248","TKTL1"
"249","PTCRA"
"250","KLF4"
"251","TSHZ2"
"252","PCDH9"
"253","ZBTB16"
"254","EVL"
"255","GBP5"
"256","DDIT4"
"257","OAZ1"
"258","C5AR1"
"259","ADAM28"
"260","RORA"
"261","SLC1A7"
"262","GATA3"
"263","GAPDH"
"264","PRDM1"
"265","TLE1"
"266","KLRC2"
"267","RBP7"
"268","TNFRSF13C"
"269","PAX5"
"270","ITGAM"
"271","TNFRSF1B"
"272","CD99"
"273","TOX"
"274","LGALS3"
"275","RGS1"
"276","AHNAK"
"277","TSPYL2"
"278","PLD4"
"279","CDKN1C"
"280","LINC00861"
"281","GIMAP7"
"282","FLNA"
"283","CTSD"
"284","EREG"
"285","MAL"
"286","ARID5B"
"287","NEIL1"
"288","KIFC3"
"289","PRSS57"
"290","PLAUR"
"291","RHOB"
"292","POU2AF1"
"293","ACTB"
"294","GNPTAB"
"295","FASLG"
"296","CXXC5"
"297","RAMP1"
"298","PTPRE"
"299","RHOBTB3"
"300","RHOC"
"301","SOX4"
"302","MMP23B"
"303","CD38"
"304","FCRL5"
"305","ITM2A"
"306","HLA-DRB5"
"307","CLEC10A"
"308","CD63"
"309","PDGFD"
"310","RPLP0"
"311","CHST12"
"312","PYCARD"
"313","PF4"
"314","CD83"
"315","LGR6"
"316","MIAT"
"317","PDZD4"
"318","PIK3IP1"
"319","LYPD2"
"320","TXK"
"321","MARCKS"
"322","MAP3K8"
"323","TPST2"
"324","SNX22"
"325","TSC22D1"
"326","MLC1"
"327","LYN"
"328","HLA-DOB"
"329","CLIC1"
"330","LAG3"
"331","PPP2R5C"
"332","MCL1"
