"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE","fine_clean_low_dim_simulations","K",1,"elastic_net",1,2.77634789675695,NA,1,0.0156806499683183,0.0498113020103351,0.2573,2.77634789675695,0.0156806499683183,0.0498113020103351,0.2564
"Beta_SSE1","fine_clean_low_dim_simulations","K",1,"group_lasso",1,2.77634789675695,NA,1,0.0156806499683183,0.0498113020103351,0.2573,2.77634789675695,0.0156806499683183,0.0498113020103351,0.2564
"Beta_SSE2","fine_clean_low_dim_simulations","K",1,"elastic_net",10,3.12107647684209,NA,1,0.016442007671893,0.0515295867860565,0.2573,3.12107647684209,0.016442007671893,0.0515295867860565,0.2566
"Beta_SSE11","fine_clean_low_dim_simulations","K",1,"group_lasso",10,3.12107647684209,NA,1,0.016442007671893,0.0515295867860565,0.2573,3.12107647684209,0.016442007671893,0.0515295867860565,0.2566
"Beta_SSE3","fine_clean_low_dim_simulations","K",1,"elastic_net",11,4.07049277380711,NA,1,0.0176656079046802,0.0526532936467351,0.2542,3.9544277637559,0.0175895790537361,0.0523877803573215,0.254
"Beta_SSE12","fine_clean_low_dim_simulations","K",1,"group_lasso",11,4.07049277380711,NA,1,0.0176656079046802,0.0526532936467351,0.2542,3.9544277637559,0.0175895790537361,0.0523877803573215,0.254
"Beta_SSE4","fine_clean_low_dim_simulations","K",1,"elastic_net",12,2.90357432147129,NA,1,0.0143207187670029,0.0484787559774477,0.2703,2.81497520430691,0.0142530143278743,0.0481660160592898,0.2703
"Beta_SSE13","fine_clean_low_dim_simulations","K",1,"group_lasso",12,2.90357432147129,NA,1,0.0143207187670029,0.0484787559774477,0.2703,2.81497520430691,0.0142530143278743,0.0481660160592898,0.2703
"Beta_SSE5","fine_clean_low_dim_simulations","K",1,"elastic_net",13,3.43681246398674,NA,1,0.0156889820086107,0.049323625333503,0.2534,3.35294427711838,0.0155835909842089,0.0490482396344279,0.2525
"Beta_SSE14","fine_clean_low_dim_simulations","K",1,"group_lasso",13,3.43681246398674,NA,1,0.0156889820086107,0.049323625333503,0.2534,3.35294427711838,0.0155835909842089,0.0490482396344279,0.2525
"Beta_SSE6","fine_clean_low_dim_simulations","K",1,"elastic_net",14,2.99771646849382,NA,1,0.0164270634492153,0.0518303288437023,0.2686,2.90961444498237,0.0162813273058633,0.0516250623955847,0.2678
"Beta_SSE15","fine_clean_low_dim_simulations","K",1,"group_lasso",14,2.99771646849382,NA,1,0.0164270634492153,0.0518303288437023,0.2686,2.90961444498237,0.0162813273058633,0.0516250623955847,0.2678
"Beta_SSE7","fine_clean_low_dim_simulations","K",1,"elastic_net",15,3.94546279545479,NA,1,0.0178047495637045,0.0520700751241773,0.2331,3.94546279545479,0.0178047495637045,0.0520700751241773,0.2324
"Beta_SSE16","fine_clean_low_dim_simulations","K",1,"group_lasso",15,3.94546279545479,NA,1,0.0178047495637045,0.0520700751241773,0.2331,3.94546279545479,0.0178047495637045,0.0520700751241773,0.2324
"Beta_SSE8","fine_clean_low_dim_simulations","K",1,"elastic_net",16,3.37133533216559,NA,1,0.0159849573536609,0.05061101808072,0.2545,3.37133533216559,0.0159849573536609,0.05061101808072,0.2545
"Beta_SSE17","fine_clean_low_dim_simulations","K",1,"group_lasso",16,3.37133533216559,NA,1,0.0159849573536609,0.05061101808072,0.2545,3.37133533216559,0.0159849573536609,0.05061101808072,0.2545
"Beta_SSE9","fine_clean_low_dim_simulations","K",1,"elastic_net",17,3.48473702962716,NA,1,0.0160254592268772,0.0504233567164926,0.2517,3.4520563689721,0.0160042793230848,0.0504152071292805,0.2513
"Beta_SSE18","fine_clean_low_dim_simulations","K",1,"group_lasso",17,3.48473702962716,NA,1,0.0160254592268772,0.0504233567164926,0.2517,3.4520563689721,0.0160042793230848,0.0504152071292805,0.2513
"Beta_SSE10","fine_clean_low_dim_simulations","K",1,"elastic_net",18,4.17209228212748,NA,1,0.0171235090744979,0.050830917921457,0.2428,3.91594091895782,0.0169712837712255,0.0504891413079828,0.2421
"Beta_SSE19","fine_clean_low_dim_simulations","K",1,"group_lasso",18,4.17209228212748,NA,1,0.0171235090744979,0.050830917921457,0.2428,3.91594091895782,0.0169712837712255,0.0504891413079828,0.2421
"Beta_SSE20","fine_clean_low_dim_simulations","K",1,"elastic_net",19,3.28255155804505,NA,1,0.017571286992259,0.053486766694743,0.2718,3.18440390959435,0.0174842901901254,0.0533404486695693,0.2717
"Beta_SSE110","fine_clean_low_dim_simulations","K",1,"group_lasso",19,3.28255155804505,NA,1,0.017571286992259,0.053486766694743,0.2718,3.18440390959435,0.0174842901901254,0.0533404486695693,0.2717
"Beta_SSE21","fine_clean_low_dim_simulations","K",1,"elastic_net",2,5.31611497586127,NA,1,0.0171641854435206,0.0502694718810485,0.2298,5.31611497586127,0.0171641718121003,0.0502694718810485,0.2297
"Beta_SSE111","fine_clean_low_dim_simulations","K",1,"group_lasso",2,5.31611497586127,NA,1,0.0171641854435206,0.0502694718810485,0.2298,5.31611497586127,0.0171641718121003,0.0502694718810485,0.2297
"Beta_SSE22","fine_clean_low_dim_simulations","K",1,"elastic_net",20,3.85771877125163,NA,1,0.0143056041779516,0.0458229010633118,0.2365,3.81374139519827,0.0143056041779516,0.0458159646435657,0.2364
"Beta_SSE112","fine_clean_low_dim_simulations","K",1,"group_lasso",20,3.85771877125163,NA,1,0.0143056041779516,0.0458229010633118,0.2365,3.81374139519827,0.0143056041779516,0.0458159646435657,0.2364
"Beta_SSE23","fine_clean_low_dim_simulations","K",1,"elastic_net",21,3.49455373038913,NA,1,0.0147759965071444,0.0472384732465315,0.2338,3.49455373038913,0.0147459919298836,0.0472015773817512,0.2336
"Beta_SSE113","fine_clean_low_dim_simulations","K",1,"group_lasso",21,3.49455373038913,NA,1,0.0147759965071444,0.0472384732465315,0.2338,3.49455373038913,0.0147459919298836,0.0472015773817512,0.2336
"Beta_SSE24","fine_clean_low_dim_simulations","K",1,"elastic_net",22,5.1251738654846,NA,1,0.0167038655894836,0.0505159675103739,0.2448,4.40850674062895,0.0162315171007057,0.0497078589776425,0.2441
"Beta_SSE114","fine_clean_low_dim_simulations","K",1,"group_lasso",22,5.1251738654846,NA,1,0.0167038655894836,0.0505159675103739,0.2448,4.40850674062895,0.0162315171007057,0.0497078589776425,0.2441
"Beta_SSE25","fine_clean_low_dim_simulations","K",1,"elastic_net",23,2.86122319304205,NA,1,0.0155674216149493,0.049889050640921,0.2539,2.82565717687012,0.0155464008620791,0.0498818623837742,0.2533
"Beta_SSE115","fine_clean_low_dim_simulations","K",1,"group_lasso",23,2.86122319304205,NA,1,0.0155674216149493,0.049889050640921,0.2539,2.82565717687012,0.0155464008620791,0.0498818623837742,0.2533
"Beta_SSE26","fine_clean_low_dim_simulations","K",1,"elastic_net",24,2.96641853835634,NA,1,0.0179738641478487,0.0544464888571224,0.2666,2.90397719922371,0.0179290667229857,0.0544464888571224,0.2666
"Beta_SSE116","fine_clean_low_dim_simulations","K",1,"group_lasso",24,2.96641853835634,NA,1,0.0179738641478487,0.0544464888571224,0.2666,2.90397719922371,0.0179290667229857,0.0544464888571224,0.2666
"Beta_SSE27","fine_clean_low_dim_simulations","K",1,"elastic_net",25,2.71218113594417,NA,1,0.0149850640240962,0.0487184879946011,0.2562,2.69731536233203,0.014972259199359,0.0486834157232017,0.2544
"Beta_SSE117","fine_clean_low_dim_simulations","K",1,"group_lasso",25,2.71218113594417,NA,1,0.0149850640240962,0.0487184879946011,0.2562,2.69731536233203,0.014972259199359,0.0486834157232017,0.2544
"Beta_SSE28","fine_clean_low_dim_simulations","K",1,"elastic_net",26,3.73947751713044,NA,1,0.0167897588897852,0.050794950489497,0.2354,3.73947751713044,0.0167897588897852,0.050794950489497,0.2348
"Beta_SSE118","fine_clean_low_dim_simulations","K",1,"group_lasso",26,3.73947751713044,NA,1,0.0167897588897852,0.050794950489497,0.2354,3.73947751713044,0.0167897588897852,0.050794950489497,0.2348
"Beta_SSE29","fine_clean_low_dim_simulations","K",1,"elastic_net",27,3.64723286092202,NA,1,0.0158553467580934,0.0485181888298388,0.2378,3.63582671059087,0.0158474578389444,0.0485079806480907,0.2374
"Beta_SSE119","fine_clean_low_dim_simulations","K",1,"group_lasso",27,3.64723286092202,NA,1,0.0158553467580934,0.0485181888298388,0.2378,3.63582671059087,0.0158474578389444,0.0485079806480907,0.2374
"Beta_SSE30","fine_clean_low_dim_simulations","K",1,"elastic_net",28,3.68998839311814,NA,1,0.0135653796403581,0.0453114764602429,0.2531,3.68998839311814,0.0135653796403581,0.0452906842324951,0.2523
"Beta_SSE120","fine_clean_low_dim_simulations","K",1,"group_lasso",28,3.68998839311814,NA,1,0.0135653796403581,0.0453114764602429,0.2531,3.68998839311814,0.0135653796403581,0.0452906842324951,0.2523
"Beta_SSE31","fine_clean_low_dim_simulations","K",1,"elastic_net",29,3.36358405161848,NA,1,0.0164193110512368,0.0511408129434578,0.2505,3.36358405161848,0.0164043246164509,0.0511408129434578,0.2504
"Beta_SSE121","fine_clean_low_dim_simulations","K",1,"group_lasso",29,3.36358405161848,NA,1,0.0164193110512368,0.0511408129434578,0.2505,3.36358405161848,0.0164043246164509,0.0511408129434578,0.2504
"Beta_SSE32","fine_clean_low_dim_simulations","K",1,"elastic_net",3,3.37797153144003,NA,1,0.0159841168870558,0.0486012763764411,0.2262,3.37797153144003,0.0159841168870558,0.0486012763764411,0.2252
"Beta_SSE122","fine_clean_low_dim_simulations","K",1,"group_lasso",3,3.37797153144003,NA,1,0.0159841168870558,0.0486012763764411,0.2262,3.37797153144003,0.0159841168870558,0.0486012763764411,0.2252
"Beta_SSE33","fine_clean_low_dim_simulations","K",1,"elastic_net",30,4.59806367590916,NA,1,0.0160521648513034,0.0490865575414814,0.2315,4.51564218466302,0.0159517308540767,0.048775132232116,0.2311
"Beta_SSE123","fine_clean_low_dim_simulations","K",1,"group_lasso",30,4.59806367590916,NA,1,0.0160521648513034,0.0490865575414814,0.2315,4.51564218466302,0.0159517308540767,0.048775132232116,0.2311
"Beta_SSE34","fine_clean_low_dim_simulations","K",1,"elastic_net",31,3.05778496011205,NA,1,0.015409803826879,0.048410588161744,0.2436,3.0088454992164,0.0153773313433216,0.0483748797719795,0.2432
"Beta_SSE124","fine_clean_low_dim_simulations","K",1,"group_lasso",31,3.05778496011205,NA,1,0.015409803826879,0.048410588161744,0.2436,3.0088454992164,0.0153773313433216,0.0483748797719795,0.2432
"Beta_SSE35","fine_clean_low_dim_simulations","K",1,"elastic_net",32,3.14950276934682,NA,1,0.0164208122443698,0.0512462735232008,0.2557,3.04177159540579,0.0163292821384717,0.0509248430779752,0.2545
"Beta_SSE125","fine_clean_low_dim_simulations","K",1,"group_lasso",32,3.14950276934682,NA,1,0.0164208122443698,0.0512462735232008,0.2557,3.04177159540579,0.0163292821384717,0.0509248430779752,0.2545
"Beta_SSE36","fine_clean_low_dim_simulations","K",1,"elastic_net",33,4.16429855247325,NA,1,0.0181473286784904,0.0528916953110014,0.244,4.14896882101144,0.0181200977298827,0.0528473668064948,0.2432
