"","run","experiment","value","method","oracle","name","mean","two_se"
"1","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","best_case_Beta_SSE",1322.68465020354,16.3224335314817
"2","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","best_case_error",0.461198,0.00275864202025532
"3","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","best_case_hellinger_distance",0.507624898669085,0.00227507460063742
"4","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","best_case_KL_divergence",3.56083560093987,0.0427900590527496
"5","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","Beta_FPR",0.7577,0.0147391191274466
"6","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","Beta_SSE",2294.66214265597,20.3737909170309
"7","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","Beta_TPR",1,0
"8","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","error",0.472192,0.00254836539846264
"9","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","hellinger_distance",0.553166819774725,0.00311616401164713
"10","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","KL_divergence",4.74993220420048,0.0845430091136019
"11","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","best_case_Beta_SSE",1078.70964030805,9.86196125123815
"12","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","best_case_error",0.405662,0.00201730383817367
"13","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","best_case_hellinger_distance",0.454919178236154,0.00145189107223712
"14","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","best_case_KL_divergence",2.70943780127777,0.0189521676612743
"15","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","Beta_FPR",0.88725,0.007678820593964
"16","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","Beta_SSE",2101.99955982482,18.1461014161697
"17","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","Beta_TPR",1,0
"18","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","error",0.42188,0.00206413889739889
"19","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","hellinger_distance",0.500943956853611,0.00253608237868375
"20","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","KL_divergence",3.58427907498669,0.0490679463024587
"21","random_X_and_Beta","N","2400","glmnet_subset","observed","best_case_Beta_SSE",2642.78077180178,17.6226311834499
"22","random_X_and_Beta","N","2400","glmnet_subset","observed","best_case_error",0.733695918367347,0.00398095790263775
"23","random_X_and_Beta","N","2400","glmnet_subset","observed","best_case_hellinger_distance",0.729583963955976,0.00249853575780286
"24","random_X_and_Beta","N","2400","glmnet_subset","observed","best_case_KL_divergence",9.9327712194558,0.0985126384093354
"25","random_X_and_Beta","N","2400","glmnet_subset","observed","Beta_FPR",0.423214285714286,0.00721393209883006
"26","random_X_and_Beta","N","2400","glmnet_subset","observed","Beta_SSE",2855.42937842987,16.9571606182181
"27","random_X_and_Beta","N","2400","glmnet_subset","observed","Beta_TPR",0.927959183673469,0.00723698907203964
"28","random_X_and_Beta","N","2400","glmnet_subset","observed","error",0.735730612244898,0.00372561552272706
"29","random_X_and_Beta","N","2400","glmnet_subset","observed","hellinger_distance",0.757309303815743,0.00195441751059949
"30","random_X_and_Beta","N","2400","glmnet_subset","observed","KL_divergence",12.4816403088428,0.104389386104126
"31","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","best_case_Beta_SSE",1239.91641314168,10.8633026491196
"32","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","best_case_error",0.405652,0.00201439100028788
"33","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","best_case_hellinger_distance",0.458438579510056,0.00144757077613686
"34","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","best_case_KL_divergence",2.76201701766649,0.0196087230646017
"35","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","Beta_FPR",0.8867,0.00751520906874445
"36","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","Beta_SSE",2104.80795629253,18.466746893744
"37","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","Beta_TPR",1,0
"38","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","error",0.421918,0.00202736132921186
"39","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","hellinger_distance",0.501521240295516,0.00248101428140056
"40","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","KL_divergence",3.59605871786486,0.0491869181811033
"41","random_X_and_Beta","N","2400","glmnet_relabel","observed","best_case_Beta_SSE",2024.71253802359,18.0273846833882
"42","random_X_and_Beta","N","2400","glmnet_relabel","observed","best_case_error",0.584344897959184,0.00417181203889962
"43","random_X_and_Beta","N","2400","glmnet_relabel","observed","best_case_hellinger_distance",0.637019070834665,0.00275847569559582
"44","random_X_and_Beta","N","2400","glmnet_relabel","observed","best_case_KL_divergence",6.61981455102563,0.0756372205101453
"45","random_X_and_Beta","N","2400","glmnet_relabel","observed","Beta_FPR",0.724387755102041,0.0140935970320257
"46","random_X_and_Beta","N","2400","glmnet_relabel","observed","Beta_SSE",2621.99515556502,18.1167583601874
"47","random_X_and_Beta","N","2400","glmnet_relabel","observed","Beta_TPR",0.999387755102041,0.000905043176574836
"48","random_X_and_Beta","N","2400","glmnet_relabel","observed","error",0.590248979591837,0.00425127080820067
"49","random_X_and_Beta","N","2400","glmnet_relabel","observed","hellinger_distance",0.661651686929153,0.00221895115324029
"50","random_X_and_Beta","N","2400","glmnet_relabel","observed","KL_divergence",8.10346739968922,0.0784117667232556
"51","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","best_case_Beta_SSE",1239.91641314168,10.8633026491196
"52","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","best_case_error",0.405652,0.00201439100028788
"53","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","best_case_hellinger_distance",0.458438579510056,0.00144757077613686
"54","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","best_case_KL_divergence",2.76201701766649,0.0196087230646017
"55","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","Beta_FPR",0.8867,0.00751520906874445
"56","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","Beta_SSE",2104.80795629253,18.466746893744
"57","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","Beta_TPR",1,0
"58","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","error",0.421918,0.00202736132921186
"59","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","hellinger_distance",0.501521240295516,0.00248101428140056
"60","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","KL_divergence",3.59605871786486,0.0491869181811033
"61","random_X_and_Beta","N","4800","IBMR_no_Gamma","observed","best_case_Beta_SSE",682.871059534266,8.27762092497989
"62","random_X_and_Beta","N","4800","IBMR_no_Gamma","observed","best_case_error",0.32967,0.00210196603790114
"63","random_X_and_Beta","N","4800","IBMR_no_Gamma","observed","best_case_hellinger_distance",0.376585668539078,0.00190442610544803
"64","random_X_and_Beta","N","4800","IBMR_no_Gamma","observed","best_case_KL_divergence",1.72490081067671,0.0179015530728109
"65","random_X_and_Beta","N","4800","IBMR_no_Gamma","observed","Beta_FPR",0.93445,0.00743308928552123
"66","random_X_and_Beta","N","4800","IBMR_no_Gamma","observed","Beta_SSE",1813.42639857206,22.4519894669371
"67","random_X_and_Beta","N","4800","IBMR_no_Gamma","observed","Beta_TPR",1,0
"68","random_X_and_Beta","N","4800","IBMR_no_Gamma","observed","error",0.343862,0.00238354145706573
"69","random_X_and_Beta","N","4800","IBMR_no_Gamma","observed","hellinger_distance",0.41997616182121,0.00314930996914311
"70","random_X_and_Beta","N","4800","IBMR_no_Gamma","observed","KL_divergence",2.22884957192004,0.0415123001007856
"71","random_X_and_Beta","N","4800","IBMR_no_Gamma","ORC_fine","best_case_Beta_SSE",561.084104673374,5.86419053004239
"72","random_X_and_Beta","N","4800","IBMR_no_Gamma","ORC_fine","best_case_error",0.300412,0.00183854991662407
"73","random_X_and_Beta","N","4800","IBMR_no_Gamma","ORC_fine","best_case_hellinger_distance",0.343335091364188,0.00135025656950878
"74","random_X_and_Beta","N","4800","IBMR_no_Gamma","ORC_fine","best_case_KL_divergence",1.39014820806768,0.0113924151276872
"75","random_X_and_Beta","N","4800","IBMR_no_Gamma","ORC_fine","Beta_FPR",0.98,0.00308716896928205
"76","random_X_and_Beta","N","4800","IBMR_no_Gamma","ORC_fine","Beta_SSE",1614.72589426219,15.9142835110345
"77","random_X_and_Beta","N","4800","IBMR_no_Gamma","ORC_fine","Beta_TPR",1,0
"78","random_X_and_Beta","N","4800","IBMR_no_Gamma","ORC_fine","error",0.3205,0.00197783637712877
"79","random_X_and_Beta","N","4800","IBMR_no_Gamma","ORC_fine","hellinger_distance",0.379074285567027,0.00164832918493014
"80","random_X_and_Beta","N","4800","IBMR_no_Gamma","ORC_fine","KL_divergence",1.70717260456079,0.0189357438243286
"81","random_X_and_Beta","N","4800","glmnet_subset","observed","best_case_Beta_SSE",2251.19589062122,15.3446723964479
"82","random_X_and_Beta","N","4800","glmnet_subset","observed","best_case_error",0.607688,0.00389345715952561
"83","random_X_and_Beta","N","4800","glmnet_subset","observed","best_case_hellinger_distance",0.637640755166274,0.00253693439420564
"84","random_X_and_Beta","N","4800","glmnet_subset","observed","best_case_KL_divergence",6.54983908249605,0.0582797952912713
"85","random_X_and_Beta","N","4800","glmnet_subset","observed","Beta_FPR",0.5915,0.00932081278754209
"86","random_X_and_Beta","N","4800","glmnet_subset","observed","Beta_SSE",2650.42830555611,15.9154537816102
"87","random_X_and_Beta","N","4800","glmnet_subset","observed","Beta_TPR",0.9962,0.00188571428571429
"88","random_X_and_Beta","N","4800","glmnet_subset","observed","error",0.615492,0.0036018582052341
"89","random_X_and_Beta","N","4800","glmnet_subset","observed","hellinger_distance",0.67746766909524,0.00225789056759563
"90","random_X_and_Beta","N","4800","glmnet_subset","observed","KL_divergence",8.69963449682554,0.0823631323230035
"91","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","best_case_Beta_SSE",790.026077141328,13.3325219495538
"92","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","best_case_error",0.30044,0.00182674015443816
"93","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","best_case_hellinger_distance",0.351568854163099,0.00154998286420267
"94","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","best_case_KL_divergence",1.46075903957528,0.0140624766886665
"95","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","Beta_FPR",0.98045,0.00311575980840524
"96","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","Beta_SSE",1617.21926667659,15.8601206374588
"97","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","Beta_TPR",1,0
"98","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","error",0.32077,0.0019940093955114
"99","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","hellinger_distance",0.37966380317126,0.00164405805430679
"100","random_X_and_Beta","N","4800","glmnet_subset","ORC_fine","KL_divergence",1.71375428072794,0.0189028606594125
"101","random_X_and_Beta","N","4800","glmnet_relabel","observed","best_case_Beta_SSE",1392.11155103006,17.3355044878623
"102","random_X_and_Beta","N","4800","glmnet_relabel","observed","best_case_error",0.427578,0.00373229169628024
"103","random_X_and_Beta","N","4800","glmnet_relabel","observed","best_case_hellinger_distance",0.502410085345415,0.00307434626421607
"104","random_X_and_Beta","N","4800","glmnet_relabel","observed","best_case_KL_divergence",3.5035012031348,0.0496282741981151
"105","random_X_and_Beta","N","4800","glmnet_relabel","observed","Beta_FPR",0.93985,0.00866898059115349
"106","random_X_and_Beta","N","4800","glmnet_relabel","observed","Beta_SSE",2205.37810230536,18.3858396116239
"107","random_X_and_Beta","N","4800","glmnet_relabel","observed","Beta_TPR",1,0
"108","random_X_and_Beta","N","4800","glmnet_relabel","observed","error",0.444058,0.00412078094441293
"109","random_X_and_Beta","N","4800","glmnet_relabel","observed","hellinger_distance",0.527052997937177,0.002794404815521
"110","random_X_and_Beta","N","4800","glmnet_relabel","observed","KL_divergence",4.13104437643477,0.0601794135962225
"111","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","best_case_Beta_SSE",790.026077141328,13.3325219495538
"112","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","best_case_error",0.30044,0.00182674015443816
"113","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","best_case_hellinger_distance",0.351568854163099,0.00154998286420267
"114","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","best_case_KL_divergence",1.46075903957528,0.0140624766886665
"115","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","Beta_FPR",0.98045,0.00311575980840524
"116","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","Beta_SSE",1617.21926667659,15.8601206374588
"117","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","Beta_TPR",1,0
"118","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","error",0.32077,0.0019940093955114
"119","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","hellinger_distance",0.37966380317126,0.00164405805430679
"120","random_X_and_Beta","N","4800","glmnet_relabel","ORC_fine","KL_divergence",1.71375428072794,0.0189028606594125
"121","random_X_and_Beta","N","9600","IBMR_no_Gamma","observed","best_case_Beta_SSE",344.546059272593,3.64863009428595
"122","random_X_and_Beta","N","9600","IBMR_no_Gamma","observed","best_case_error",0.238006,0.00175445704142452
"123","random_X_and_Beta","N","9600","IBMR_no_Gamma","observed","best_case_hellinger_distance",0.269807366774206,0.00103451869209082
"124","random_X_and_Beta","N","9600","IBMR_no_Gamma","observed","best_case_KL_divergence",0.801923987043788,0.0059078061456484
"125","random_X_and_Beta","N","9600","IBMR_no_Gamma","observed","Beta_FPR",0.995,0.00105945692672795
"126","random_X_and_Beta","N","9600","IBMR_no_Gamma","observed","Beta_SSE",1298.63532727528,18.2289356767593
"127","random_X_and_Beta","N","9600","IBMR_no_Gamma","observed","Beta_TPR",1,0
"128","random_X_and_Beta","N","9600","IBMR_no_Gamma","observed","error",0.254086,0.00185121700731256
"129","random_X_and_Beta","N","9600","IBMR_no_Gamma","observed","hellinger_distance",0.301298165873718,0.00171610868581269
"130","random_X_and_Beta","N","9600","IBMR_no_Gamma","observed","KL_divergence",0.96241266735099,0.0125916114767865
"131","random_X_and_Beta","N","9600","IBMR_no_Gamma","ORC_fine","best_case_Beta_SSE",288.951162626124,2.89905492798876
"132","random_X_and_Beta","N","9600","IBMR_no_Gamma","ORC_fine","best_case_error",0.222692,0.00164888424860756
"133","random_X_and_Beta","N","9600","IBMR_no_Gamma","ORC_fine","best_case_hellinger_distance",0.24772615705182,0.000877117036291819
"134","random_X_and_Beta","N","9600","IBMR_no_Gamma","ORC_fine","best_case_KL_divergence",0.663690398832501,0.00483223725926678
"135","random_X_and_Beta","N","9600","IBMR_no_Gamma","ORC_fine","Beta_FPR",0.9981,0.000647759088500264
"136","random_X_and_Beta","N","9600","IBMR_no_Gamma","ORC_fine","Beta_SSE",1190.84349259408,12.6747843733145
