"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error","oracle"
"Beta_SSE","random_X_and_Beta","N",19200,"glmnet_relabel",1,1073.68268005755,1,1,0.675471908486087,0.256496610267028,0.2349,636.963991489263,0.629326669992643,0.241055627158959,0.2161,"observed"
"Beta_SSE1","random_X_and_Beta","N",19200,"glmnet_relabel",10,1247.5857786991,1,1,0.745519134462072,0.270804533220452,0.2131,597.383196514417,0.592487077631705,0.233554867433995,0.2027,"observed"
"Beta_SSE2","random_X_and_Beta","N",19200,"glmnet_relabel",11,1026.66683664777,1,1,0.647706007560489,0.254017937185617,0.2355,604.829603015657,0.604258750927806,0.239196923638798,0.2137,"observed"
"Beta_SSE3","random_X_and_Beta","N",19200,"glmnet_relabel",12,1016.11789298995,1,1,0.637885332708067,0.251867140763732,0.2267,594.513967520539,0.585662692086234,0.233290713139648,0.2023,"observed"
"Beta_SSE4","random_X_and_Beta","N",19200,"glmnet_relabel",13,1243.90422883742,1,1,0.750547534386176,0.27349369808034,0.2245,600.801353501009,0.610562829008245,0.24107943948364,0.2142,"observed"
"Beta_SSE5","random_X_and_Beta","N",19200,"glmnet_relabel",14,1303.40476353672,1,1,0.800679069813153,0.280296462188389,0.2205,483.842319670625,0.649051233314878,0.246248980251066,0.2073,"observed"
"Beta_SSE6","random_X_and_Beta","N",19200,"glmnet_relabel",15,1201.54493264773,1,1,0.754949166890941,0.276015969780784,0.2249,565.207142103522,0.612370872664836,0.24318413186077,0.2078,"observed"
"Beta_SSE7","random_X_and_Beta","N",19200,"glmnet_relabel",16,1222.04873703663,0.995,1,0.791886351442314,0.280262677100033,0.2246,596.76615722635,0.642641726536528,0.246864343822513,0.2153,"observed"
"Beta_SSE8","random_X_and_Beta","N",19200,"glmnet_relabel",17,1054.68372839349,1,1,0.65100664253897,0.256285285826169,0.2262,435.059602713929,0.587024718110435,0.236690386692255,0.2077,"observed"
"Beta_SSE9","random_X_and_Beta","N",19200,"glmnet_relabel",18,1247.42546273895,1,1,0.72831902360406,0.269781504659683,0.2134,584.920215635785,0.590649597136058,0.236414618493401,0.2032,"observed"
"Beta_SSE10","random_X_and_Beta","N",19200,"glmnet_relabel",19,1247.49080383605,1,1,0.76395832929068,0.275145419727088,0.2235,592.817797524153,0.615783406717703,0.241169563640697,0.2123,"observed"
"Beta_SSE11","random_X_and_Beta","N",19200,"glmnet_relabel",2,1123.00989437155,1,1,0.685042865237749,0.259304508468679,0.2322,673.508825294896,0.621768219474998,0.240282753752818,0.2138,"observed"
"Beta_SSE12","random_X_and_Beta","N",19200,"glmnet_relabel",20,1026.8970367105,1,1,0.639044982606538,0.25142661554593,0.2289,589.710754362675,0.593846612507818,0.235310029604604,0.208,"observed"
"Beta_SSE13","random_X_and_Beta","N",19200,"glmnet_relabel",21,1198.5951663532,1,1,0.730727266090111,0.269798317349639,0.2224,555.681001735602,0.586694394900701,0.235513961434664,0.2146,"observed"
"Beta_SSE14","random_X_and_Beta","N",19200,"glmnet_relabel",22,1021.3080744181,1,1,0.677459983959324,0.259961936855076,0.2414,603.010775941164,0.637104443062905,0.247061462064136,0.2201,"observed"
"Beta_SSE15","random_X_and_Beta","N",19200,"glmnet_relabel",23,1215.79376601157,0.9975,1,0.724003335259127,0.270655453421638,0.2195,557.873272516128,0.574860383583319,0.235507486945663,0.2101,"observed"
"Beta_SSE16","random_X_and_Beta","N",19200,"glmnet_relabel",24,1203.22739989497,1,1,0.766522066209786,0.278000009816602,0.2237,415.007843329442,0.629804916750652,0.246631889187131,0.2105,"observed"
"Beta_SSE17","random_X_and_Beta","N",19200,"glmnet_relabel",25,1199.89946564329,1,1,0.736981019529401,0.271491059193495,0.2272,564.803919034032,0.606065992626538,0.240698486208691,0.2109,"observed"
