"","run","experiment","value","method","oracle","name","mean","two_se"
"1","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","Beta_FPR",0.75675,0.0234242901369722
"2","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","Beta_SSE",2296.82919261195,40.1271116076016
"3","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","Beta_TPR",1,0
"4","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","error",0.47204,0.00380657049683418
"5","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","hellinger_distance",0.553947109435011,0.00578494379374193
"6","random_X_and_Beta","N","2400","IBMR_no_Gamma","observed","KL_divergence",4.77620770129015,0.156823768313391
"7","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","Beta_FPR",0.883875,0.00898445294588614
"8","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","Beta_SSE",2107.54239805583,31.6867322855662
"9","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","Beta_TPR",1,0
"10","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","error",0.421795,0.00281793037155771
"11","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","hellinger_distance",0.502392015293087,0.00416491262913312
"12","random_X_and_Beta","N","2400","IBMR_no_Gamma","ORC_fine","KL_divergence",3.61183715058015,0.0834516688218311
"13","random_X_and_Beta","N","2400","glmnet_subset","observed","Beta_FPR",0.428947368421053,0.0121414409813802
"14","random_X_and_Beta","N","2400","glmnet_subset","observed","Beta_SSE",2854.63137047974,28.286289296392
"15","random_X_and_Beta","N","2400","glmnet_subset","observed","Beta_TPR",0.928947368421053,0.0120325811926191
"16","random_X_and_Beta","N","2400","glmnet_subset","observed","error",0.736031578947368,0.00509346680801455
"17","random_X_and_Beta","N","2400","glmnet_subset","observed","hellinger_distance",0.757243164792578,0.00298694838187532
"18","random_X_and_Beta","N","2400","glmnet_subset","observed","KL_divergence",12.5091826084505,0.16989050127105
"19","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","Beta_FPR",0.884625,0.00912828888098623
"20","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","Beta_SSE",2108.27059717686,31.5928373931356
"21","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","Beta_TPR",1,0
"22","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","error",0.42189,0.00287027964894675
"23","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","hellinger_distance",0.502618855249107,0.00412218562788432
"24","random_X_and_Beta","N","2400","glmnet_subset","ORC_fine","KL_divergence",3.61624397843913,0.0827667862241711
"25","random_X_and_Beta","N","2400","glmnet_relabel","observed","Beta_FPR",0.730131578947368,0.0193062184487541
"26","random_X_and_Beta","N","2400","glmnet_relabel","observed","Beta_SSE",2616.29845156663,30.6715453862688
"27","random_X_and_Beta","N","2400","glmnet_relabel","observed","Beta_TPR",1,0
"28","random_X_and_Beta","N","2400","glmnet_relabel","observed","error",0.587294736842105,0.00693592181242835
"29","random_X_and_Beta","N","2400","glmnet_relabel","observed","hellinger_distance",0.659725922386734,0.00417277918720897
"30","random_X_and_Beta","N","2400","glmnet_relabel","observed","KL_divergence",8.05791478925402,0.147933795681483
"31","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","Beta_FPR",0.884625,0.00912828888098623
"32","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","Beta_SSE",2108.27059717686,31.5928373931356
"33","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","Beta_TPR",1,0
"34","random_X_and_Beta","N","2400","glmnet_relabel","ORC_fine","error",0.42189,0.00287027964894675
