"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","oracle"
"1","random_X_and_Beta","N",19200,"glmnet_relabel",1,1073.68268005755,1,1,0.675471908486087,0.256496610267028,0.2349,"observed"
"2","random_X_and_Beta","N",19200,"glmnet_relabel",10,1247.5857786991,1,1,0.745519134462072,0.270804533220452,0.2131,"observed"
"3","random_X_and_Beta","N",19200,"glmnet_relabel",11,1026.66683664777,1,1,0.647706007560495,0.254017937185618,0.2355,"observed"
"4","random_X_and_Beta","N",19200,"glmnet_relabel",12,1016.11789298994,1,1,0.63788533270806,0.251867140763731,0.2267,"observed"
"5","random_X_and_Beta","N",19200,"glmnet_relabel",13,1243.90422883742,1,1,0.750547534386176,0.27349369808034,0.2245,"observed"
"6","random_X_and_Beta","N",19200,"glmnet_relabel",14,1303.40476353672,1,1,0.800679069813153,0.280296462188389,0.2205,"observed"
"7","random_X_and_Beta","N",19200,"glmnet_relabel",15,1201.54493264773,1,1,0.754949166890941,0.276015969780784,0.2249,"observed"
"8","random_X_and_Beta","N",19200,"glmnet_relabel",16,1222.04873703663,0.995,1,0.791886351442314,0.280262677100033,0.2246,"observed"
"9","random_X_and_Beta","N",19200,"glmnet_relabel",17,1054.68372839349,1,1,0.65100664253897,0.256285285826169,0.2262,"observed"
"10","random_X_and_Beta","N",19200,"glmnet_relabel",18,1247.42546273895,1,1,0.72831902360406,0.269781504659683,0.2134,"observed"
"11","random_X_and_Beta","N",19200,"glmnet_relabel",19,1247.49080383605,1,1,0.76395832929068,0.275145419727088,0.2235,"observed"
"12","random_X_and_Beta","N",19200,"glmnet_relabel",2,1123.00989437155,1,1,0.685042865237749,0.259304508468679,0.2322,"observed"
"13","random_X_and_Beta","N",19200,"glmnet_relabel",20,1026.8970367105,1,1,0.639044982606538,0.25142661554593,0.2289,"observed"
"14","random_X_and_Beta","N",19200,"glmnet_relabel",3,1060.38688723436,1,1,0.674119594474069,0.25881541124484,0.2272,"observed"
"15","random_X_and_Beta","N",19200,"glmnet_relabel",4,1236.44231203978,1,1,0.767649637070289,0.275071613283399,0.2215,"observed"
"16","random_X_and_Beta","N",19200,"glmnet_relabel",5,1037.83248858987,1,1,0.6589584962142,0.254251850479617,0.2296,"observed"
"17","random_X_and_Beta","N",19200,"glmnet_relabel",6,1011.26261555864,1,1,0.649049065566867,0.254551377111678,0.2299,"observed"
"18","random_X_and_Beta","N",19200,"glmnet_relabel",7,1217.38342238976,0.9975,1,0.738673252320156,0.269895551627158,0.2188,"observed"
"19","random_X_and_Beta","N",19200,"glmnet_relabel",8,1200.48440742503,1,1,0.723394384464327,0.270834118279016,0.2171,"observed"
