"","run","experiment","value","method","oracle","name","mean","two_se"
"1","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","observed","Beta_FPR",0.6514,0.0138969678090479
"2","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","observed","Beta_SSE",2571.01470886596,33.5326533881416
"3","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","observed","Beta_TPR",0.9994,0.000678533833545024
"4","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","observed","error",0.58786,0.00658282242054335
"5","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","observed","hellinger_distance",0.579808416500178,0.0029512939242981
"6","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","observed","KL_divergence",4.14896530281509,0.0475851197747638
"7","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","ORC_fine","Beta_FPR",0.857,0.0120297250888907
"8","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","ORC_fine","Beta_SSE",2453.48068925398,32.481294090754
"9","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","ORC_fine","Beta_TPR",0.9996,0.000800000000000001
"10","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","ORC_fine","error",0.510178,0.00357317575548585
"11","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","ORC_fine","hellinger_distance",0.521932570885859,0.00314850999279663
"12","random_X_and_structured_Beta","N","2400","IBMR_no_Gamma","ORC_fine","KL_divergence",3.85812147993483,0.0694749616308403
"13","random_X_and_structured_Beta","N","2400","subset","observed","Beta_FPR",0.4767,0.0107546288088584
"14","random_X_and_structured_Beta","N","2400","subset","observed","Beta_SSE",2968.2723546638,33.3782493977278
"15","random_X_and_structured_Beta","N","2400","subset","observed","Beta_TPR",0.8874,0.00858684328208105
"16","random_X_and_structured_Beta","N","2400","subset","observed","error",0.753914,0.00417723670013797
"17","random_X_and_structured_Beta","N","2400","subset","observed","hellinger_distance",0.720099442707734,0.00194773584001298
"18","random_X_and_structured_Beta","N","2400","subset","observed","KL_divergence",10.3612742502255,0.0861626287995187
"19","random_X_and_structured_Beta","N","2400","subset","ORC_fine","Beta_FPR",0.857,0.0120297250888907
"20","random_X_and_structured_Beta","N","2400","subset","ORC_fine","Beta_SSE",2453.48068925398,32.481294090754
"21","random_X_and_structured_Beta","N","2400","subset","ORC_fine","Beta_TPR",0.9996,0.000800000000000001
"22","random_X_and_structured_Beta","N","2400","subset","ORC_fine","error",0.510178,0.00357317575548585
"23","random_X_and_structured_Beta","N","2400","subset","ORC_fine","hellinger_distance",0.521932570885859,0.00314850999279663
"24","random_X_and_structured_Beta","N","2400","subset","ORC_fine","KL_divergence",3.85812147993483,0.0694749616308403
"25","random_X_and_structured_Beta","N","2400","relabel","observed","Beta_FPR",0.8449,0.0136418922620653
"26","random_X_and_structured_Beta","N","2400","relabel","observed","Beta_SSE",2606.1143459681,35.1786929298785
"27","random_X_and_structured_Beta","N","2400","relabel","observed","Beta_TPR",0.9992,0.000775123426642888
"28","random_X_and_structured_Beta","N","2400","relabel","observed","error",0.626428,0.00531855754573991
"29","random_X_and_structured_Beta","N","2400","relabel","observed","hellinger_distance",0.601206361510259,0.00309874452242875
"30","random_X_and_structured_Beta","N","2400","relabel","observed","KL_divergence",4.9037463434478,0.0844369122466435
"31","random_X_and_structured_Beta","N","2400","relabel","ORC_fine","Beta_FPR",0.857,0.0120297250888907
"32","random_X_and_structured_Beta","N","2400","relabel","ORC_fine","Beta_SSE",2453.48068925398,32.481294090754
"33","random_X_and_structured_Beta","N","2400","relabel","ORC_fine","Beta_TPR",0.9996,0.000800000000000001
