"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","oracle"
"1","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",1,1207.90757287778,1,1,0.64832163944139,0.281967450871189,0.3317,"observed"
"2","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",10,1340.86177348033,0.99,1,0.671429600535049,0.287217548264193,0.3327,"observed"
"3","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",11,1068.36205963564,1,1,0.597686555655191,0.278650408874602,0.352,"observed"
"4","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",12,1109.9463615391,1,1,0.608120000891523,0.278646158202012,0.3404,"observed"
"5","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",13,1338.08564850774,1,1,0.695792904891209,0.293946500136193,0.3477,"observed"
"6","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",14,1108.58736433773,1,1,0.649352800673817,0.287529939839404,0.3434,"observed"
"7","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",15,1154.38366538789,0.9975,1,0.611804199318814,0.278806110395021,0.3314,"observed"
"8","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",16,1160.46036649099,0.9975,1,0.62792309537603,0.282869799653612,0.3487,"observed"
"9","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",17,1263.58808594881,0.985,1,0.704705644099074,0.298404032913966,0.3527,"observed"
"10","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",18,1317.76720375955,0.995,1,0.664679005971117,0.286412402149078,0.3254,"observed"
"11","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",19,1347.26774931832,0.9875,1,0.681776902771695,0.29148871363997,0.3388,"observed"
"12","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",2,1332.31991679522,1,1,0.668116527298862,0.288758871105129,0.3457,"observed"
"13","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",20,1155.62939316596,1,1,0.617110035713018,0.28042055619654,0.3494,"observed"
"14","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",21,1272.24945692857,0.995,1,0.675169626700298,0.289764394899904,0.3202,"observed"
"15","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",22,1070.33416891295,0.9975,1,0.61593012306687,0.283902143491157,0.3621,"observed"
"16","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",23,1312.82283734099,1,1,0.665681500420435,0.285892131325343,0.3393,"observed"
"17","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",24,1258.17964474512,0.9925,1,0.696531256527102,0.296074057148147,0.3554,"observed"
"18","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",25,1209.22100078751,1,1,0.636191653879479,0.28409426252494,0.3482,"observed"
"19","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",26,1288.11412505604,0.99,1,0.696125593386956,0.294732943700661,0.3475,"observed"
"20","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",27,1188.95800243377,1,1,0.631607790517008,0.277204533267705,0.3235,"observed"
"21","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",28,1360.7433251379,0.9875,1,0.687699170502926,0.288862115306527,0.3285,"observed"
"22","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",29,1557.49263051109,0.985,1,0.743560403229487,0.299765080588682,0.3369,"observed"
"23","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",3,1195.40608500257,1,1,0.665918466789916,0.291851822337033,0.3607,"observed"
"24","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",30,1185.43966386855,1,1,0.642752039777019,0.281511941560316,0.3272,"observed"
"25","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",31,1355.31025912503,0.9925,1,0.68929273508623,0.290564725907847,0.3226,"observed"
"26","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",32,1258.99699954841,0.9875,1,0.642635820555517,0.28631409813328,0.3358,"observed"
"27","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",33,1246.59552077968,0.995,1,0.644076482885103,0.286321193307709,0.3451,"observed"
"28","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",34,1225.34617055357,1,1,0.648093740664949,0.287297704339959,0.3538,"observed"
"29","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",35,1309.39659146125,0.9925,1,0.698328384822191,0.29619140158494,0.3486,"observed"
"30","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",36,1143.51656189143,0.9975,1,0.639523979476142,0.286730258388669,0.3542,"observed"
"31","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",37,1400.10206264587,0.995,1,0.67287971483438,0.286696185879981,0.3195,"observed"
"32","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",38,1286.12951719096,0.9975,1,0.67215924685646,0.294723603534508,0.3615,"observed"
"33","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",39,1502.85370720936,0.98,1,0.740306833028612,0.297988837136286,0.3376,"observed"
"34","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",4,1318.97346697879,0.9975,1,0.668278748927726,0.289539129393207,0.3421,"observed"
"35","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",40,1410.73900248395,0.99,1,0.708828987586004,0.297632080470809,0.3451,"observed"
"36","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",41,1092.06584945085,1,1,0.604977650269377,0.278707875014623,0.3302,"observed"
"37","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",42,1249.82010994074,1,1,0.620701193834652,0.280605341801811,0.3378,"observed"
"38","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",43,1188.79049233421,1,1,0.648184694765919,0.28614150375812,0.3446,"observed"
"39","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",44,1089.24960909601,1,1,0.644916666540109,0.289464959625478,0.3645,"observed"
"40","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",45,1190.5393565255,0.9925,1,0.650494760935708,0.284733974498827,0.328,"observed"
"41","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",46,1460.17283973625,0.99,1,0.703159940164396,0.294808354793217,0.3399,"observed"
"42","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",47,1116.97441171319,1,1,0.636335296465735,0.286206931543414,0.3572,"observed"
"43","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",48,1043.20920522159,1,1,0.593996480368898,0.277086965719246,0.3414,"observed"
"44","random_X_and_structured_Beta","N",19200,"IBMR_no_Gamma",49,1177.22179310531,1,1,0.629083853358891,0.280202887854828,0.3321,"observed"
