"","run","experiment","value","method","oracle","name","mean","two_se"
"1","splatter_X_and_Beta","batch_effect","0.025","IBMR","observed","Beta_FPR",0.303318233462314,0.080109026970102
"2","splatter_X_and_Beta","batch_effect","0.025","IBMR","observed","Beta_SSE",105.24144165305,13.269567740691
"3","splatter_X_and_Beta","batch_effect","0.025","IBMR","observed","Beta_TPR",0.921438781014024,0.0206742775727757
"4","splatter_X_and_Beta","batch_effect","0.025","IBMR","observed","error",0.139275,0.0197959862454128
"5","splatter_X_and_Beta","batch_effect","0.025","IBMR","observed","hellinger_distance",0.180741372449559,0.010209703220619
"6","splatter_X_and_Beta","batch_effect","0.025","IBMR","observed","KL_divergence",0.221767243709097,0.0251771548251308
"7","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine","Beta_FPR",0.398765586034913,0.153770232369164
"8","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine","Beta_SSE",82.0285938702871,22.3535164496079
"9","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine","Beta_TPR",0.979949494949495,0.0199663867453954
"10","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine","error",0.105075,0.025077529782656
"11","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine","hellinger_distance",0.126969914715644,0.0259744246247501
"12","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine","KL_divergence",0.102750240542837,0.0341114546098327
"13","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_clean","Beta_FPR",0.266321334572888,0.0912430404923832
"14","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_clean","Beta_SSE",71.9553596600379,12.3684820281064
"15","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_clean","Beta_TPR",0.884509169363538,0.0186555370597034
"16","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_clean","error",0.1223,0.0188365905316526
"17","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_clean","hellinger_distance",0.129590997572756,0.013842600864259
"18","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_clean","KL_divergence",0.108788829134122,0.0198345915275214
"19","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine_clean","Beta_FPR",0.21674812967581,0.0401211122631345
"20","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine_clean","Beta_SSE",51.043584639634,13.3800341695654
"21","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine_clean","Beta_TPR",0.911757575757576,0.0245461279368909
"22","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine_clean","error",0.10804,0.0216548932114661
"23","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine_clean","hellinger_distance",0.086797524262601,0.0135525804207577
"24","splatter_X_and_Beta","batch_effect","0.025","IBMR","ORC_fine_clean","KL_divergence",0.0459140628626155,0.0118579676925554
"25","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","observed","Beta_FPR",0.443852867830424,0.111968081819244
"26","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","observed","Beta_SSE",127.421603723041,12.4067378901404
"27","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","observed","Beta_TPR",0.943164983164983,0.0239458098019641
"28","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","observed","error",0.121666666666667,0.0389472007266818
"29","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","observed","hellinger_distance",0.172082943014152,0.0265170164946561
"30","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","observed","KL_divergence",0.214902409463898,0.060787656292226
"31","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine","Beta_FPR",0.343101620947631,0.351203241895262
"32","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine","Beta_SSE",76.4497531517204,37.3964288907909
"33","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine","Beta_TPR",0.97,0.06
"34","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine","error",0.10275,0.0107
"35","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine","hellinger_distance",0.134616911449466,0.00310534495081227
"36","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine","KL_divergence",0.114375373555068,0.00884469019995869
"37","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_clean","Beta_FPR",0.33875,0.1525
"38","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_clean","Beta_SSE",80.3389390686875,24.7313716103265
"39","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_clean","Beta_TPR",0.885,0.01
"40","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_clean","error",0.10075,0.0439
"41","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_clean","hellinger_distance",0.118645911176405,0.0278618825933007
"42","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_clean","KL_divergence",0.0972610542008236,0.0450847945318168
"43","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine_clean","Beta_FPR",0.135,0.089489291724392
"44","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine_clean","Beta_SSE",36.7112956957757,6.75492243700392
"45","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine_clean","Beta_TPR",0.896666666666667,0.017638342073764
"46","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine_clean","error",0.102533333333333,0.02858095714127
"47","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine_clean","hellinger_distance",0.0931770370004329,0.0131534144170181
"48","splatter_X_and_Beta","batch_effect","0.025","IBMR_int","ORC_fine_clean","KL_divergence",0.0510942316620612,0.0112721017817319
"49","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","observed","Beta_FPR",0.1925,NA
"50","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","observed","Beta_SSE",91.5473411512543,NA
"51","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","observed","Beta_TPR",0.89,NA
"52","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","observed","error",0.1385,NA
"53","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","observed","hellinger_distance",0.193924333204223,NA
"54","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","observed","KL_divergence",0.243214102258497,NA
"55","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","ORC_fine","Beta_FPR",0.1875,NA
"56","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","ORC_fine","Beta_SSE",58.5774068194767,NA
"57","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","ORC_fine","Beta_TPR",0.95,NA
"58","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","ORC_fine","error",0.1075,NA
"59","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","ORC_fine","hellinger_distance",0.139236942054722,NA
"60","splatter_X_and_Beta","batch_effect","0.025","IBMR_common_Gamma","ORC_fine","KL_divergence",0.114211353723384,NA
