"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","oracle"
"1","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",1,93.1149888343689,0.445,0.95,0.134606158717066,0.134547903085592,0.1294,"observed"
"2","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",10,65.1229222034597,0.2275,0.95,0.114069501284962,0.133960158480582,0.1676,"observed"
"3","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",11,92.1844245111623,0.439698492462312,0.911764705882353,0.128548886334614,0.133288011782447,0.1186,"observed"
"4","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",12,68.6355232384924,0.361596009975062,0.97979797979798,0.0969823000250395,0.119069597630882,0.1224,"observed"
"5","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",13,95.6951976128142,0.334170854271357,0.931372549019608,0.0881885466274037,0.112732378490227,0.1061,"observed"
"6","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",14,84.0896622359839,0.37593984962406,0.95049504950495,0.0849742856560404,0.114422000806828,0.1237,"observed"
"7","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",2,63.6593433572552,0.16,0.93,0.0851555058114057,0.117490917619757,0.1267,"observed"
"8","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",3,69.0097203123684,0.2625,0.97,0.0617017206787078,0.0956264793718677,0.0788,"observed"
"9","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",4,86.6145425366506,0.314214463840399,0.97979797979798,0.119716974849327,0.126120295723319,0.1115,"observed"
"10","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",5,75.4293164930606,0.251870324189526,0.97979797979798,0.106707246375277,0.13258407628314,0.1441,"observed"
"11","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",6,105.610956410109,0.483627204030227,0.980582524271845,0.14826832238379,0.141677858556265,0.1441,"observed"
"12","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",7,67.1612665958989,0.215,0.94,0.124276568499957,0.137434533515192,0.1591,"observed"
"13","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",8,78.8405119390347,0.375,0.96,0.111470079580501,0.124755416283992,0.1084,"observed"
"14","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",9,71.3835666835524,0.165829145728643,0.901960784313726,0.140145575314735,0.146902432423906,0.1699,"observed"
"15","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",1,60.6897109859203,0.2825,0.92,0.0581921039825639,0.0948282406550239,0.1103,"ORC_clean"
"16","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",10,42.6874762586535,0.125,0.87,0.0628247699141205,0.103229892738233,0.158,"ORC_clean"
"17","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",11,54.9983471388005,0.21105527638191,0.911764705882353,0.0536477818736789,0.0918688932201107,0.1066,"ORC_clean"
"18","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",12,53.9477223215296,0.236907730673317,0.919191919191919,0.0517133457250259,0.0927782613839113,0.1139,"ORC_clean"
"19","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",13,57.4553119982071,0.206030150753769,0.911764705882353,0.0516013214387875,0.088536208243274,0.1046,"ORC_clean"
"20","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",2,37.4185665957212,0.075,0.86,0.0530672204867484,0.0935393627780109,0.1282,"ORC_clean"
"21","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",3,43.6567108081294,0.1025,0.88,0.0375490221167232,0.0769505470577609,0.0758,"ORC_clean"
"22","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",4,60.1436763640859,0.199501246882793,0.888888888888889,0.0507183522711449,0.0878579681550754,0.0961,"ORC_clean"
"23","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",5,46.3156723550822,0.154613466334165,0.909090909090909,0.0639512218735041,0.10445810772131,0.1394,"ORC_clean"
"24","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",6,65.1093545780664,0.327455919395466,0.883495145631068,0.0711969920718615,0.103014306064753,0.1241,"ORC_clean"
"25","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",7,48.5100450110253,0.1375,0.92,0.0735930550042795,0.10971505156624,0.1451,"ORC_clean"
"26","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",8,54.2439061207952,0.21,0.93,0.0561974144131582,0.0927346785153459,0.1003,"ORC_clean"
"27","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",9,69.5283531030397,0.369346733668342,0.92156862745098,0.0885666313035019,0.117081678327452,0.1605,"ORC_clean"
"28","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",1,58.6380640886319,0.19,0.95,0.114204893387348,0.139233223328159,0.1075,"ORC_fine"
"29","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",10,60.0318620633144,0.3575,0.96,0.110111675173221,0.138561679192834,0.1544,"ORC_fine"
"30","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",2,75.6265285270608,0.33,0.99,0.120533118922913,0.141550434771686,0.1273,"ORC_fine"
"31","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",3,93.617784450305,0.4225,0.97,0.0918806316448816,0.117739934487162,0.0777,"ORC_fine"
"32","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",4,98.9105783915439,0.556109725685786,0.98989898989899,0.128115339513219,0.138579978501742,0.0973,"ORC_fine"
"33","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",5,67.411820284423,0.418952618453865,0.98989898989899,0.116220378869418,0.141968481284216,0.1378,"ORC_fine"
"34","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",6,67.6320075916743,0.214105793450882,0.941747572815534,0.133092135069561,0.149948691697514,0.1197,"ORC_fine"
"35","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",7,66.7622801484343,0.45,0.99,0.129218377206486,0.148129430108666,0.1406,"ORC_fine"
"36","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",9,68.0944577220201,0.268844221105528,0.950980392156863,0.139060011173598,0.154830064467562,0.156,"ORC_fine"
"37","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",1,33.2557991768396,0.07,0.9,0.0645713198892257,0.107345455026451,0.1065,"ORC_fine_clean"
"38","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",2,34.1327156898392,0.15,0.89,0.0564373643750269,0.0996811827158384,0.1247,"ORC_fine_clean"
"39","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",3,44.8232015770287,0.2475,0.91,0.0450446269781221,0.0850658974001797,0.0757,"ORC_fine_clean"
"40","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",4,55.3137049105935,0.359102244389027,0.96969696969697,0.0551763187005159,0.0941113591671077,0.0949,"ORC_fine_clean"
"41","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",5,39.0261713297576,0.229426433915212,0.939393939393939,0.0574626685687767,0.101242718923798,0.1369,"ORC_fine_clean"
"42","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",6,53.3831331327898,0.44080604534005,0.902912621359223,0.0614249424902589,0.0999242286193362,0.1173,"ORC_fine_clean"
"43","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",7,36.6130706670752,0.1875,0.96,0.0662354661992337,0.108410251957145,0.1379,"ORC_fine_clean"
"44","splatter_X_and_Beta","batch_effect",0.025,"glmnet_relabel",8,52.1396271180114,0.4025,0.98,0.0589693205928384,0.0971950874357141,0.0986,"ORC_fine_clean"
"45","splatter_X_and_Beta","batch_effect",0.025,"glmnet_subset",1,203.043420073125,0.54,0.85,0.267183425105384,0.1837968592059,0.1609,"observed"
"46","splatter_X_and_Beta","batch_effect",0.025,"glmnet_subset",10,180.981440496473,0.56,0.89,0.262975045460344,0.197295122870752,0.1947,"observed"
"47","splatter_X_and_Beta","batch_effect",0.025,"glmnet_subset",11,169.23066988584,0.57035175879397,0.931372549019608,0.242908952737963,0.175936863417662,0.1455,"observed"
"48","splatter_X_and_Beta","batch_effect",0.025,"glmnet_subset",12,148.29725197509,0.493765586034913,0.909090909090909,0.177001800472065,0.155687384782129,0.1354,"observed"
"49","splatter_X_and_Beta","batch_effect",0.025,"glmnet_subset",13,186.794468636727,0.482412060301508,0.911764705882353,0.205179125117884,0.162024065732033,0.1256,"observed"
"50","splatter_X_and_Beta","batch_effect",0.025,"glmnet_subset",14,135.697972932835,0.406015037593985,0.95049504950495,0.197553806477716,0.162761526709248,0.144,"observed"
