"","run","experiment","value","method","oracle","name","mean","two_se"
"1","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","observed","Beta_FPR",0.267476519298396,0.108754007204309
"2","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","observed","Beta_SSE",37.2808328323676,6.50711313545878
"3","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","observed","Beta_TPR",0.894020861091689,0.0359638521904301
"4","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","observed","error",0.567014285714286,0.0533932121345103
"5","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","observed","hellinger_distance",0.175997406961373,0.0162739139979726
"6","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","observed","KL_divergence",0.151276701949189,0.0341963031767132
"7","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine","Beta_FPR",0.212053571428571,NA
"8","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine","Beta_SSE",31.9143515218356,NA
"9","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine","Beta_TPR",0.980769230769231,NA
"10","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine","error",0.4752,NA
"11","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine","hellinger_distance",0.138290572241628,NA
"12","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine","KL_divergence",0.0877748993038587,NA
"13","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_clean","Beta_FPR",0.181983786256945,0.0834312693205429
"14","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_clean","Beta_SSE",15.8706498090247,2.37431026437018
"15","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_clean","Beta_TPR",0.88898643217971,0.0319331422274495
"16","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_clean","error",0.555655555555556,0.0388162209951675
"17","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_clean","hellinger_distance",0.115518636780292,0.00636292555804282
"18","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_clean","KL_divergence",0.0613239285812871,0.00803340778151376
"19","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine_clean","Beta_FPR",0.0772005765310331,0.0154349718589469
"20","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine_clean","Beta_SSE",10.9925117004707,0.427439398246429
"21","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine_clean","Beta_TPR",0.895776772247361,0.0550236498012475
"22","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine_clean","error",0.485166666666667,0.0112666666666666
"23","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine_clean","hellinger_distance",0.097624040185566,0.00430948491312748
"24","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR","ORC_fine_clean","KL_divergence",0.0425132819120913,0.00390924099834434
"25","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR_no_Gamma","observed","Beta_FPR",0.273039740960751,0.0761974329765951
"26","unstructured_splatter_X_and_Beta","nonsparsity","0.1","IBMR_no_Gamma","observed","Beta_SSE",35.7428876648423,5.26255330587766
